City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Uusikaupunki,FI,60.8004,21.4084,37.35,89,100,5.53,overcast clouds
333,Phayao,TH,19.25,100.25,73.42,82,73,2.66,broken clouds
334,Ossora,RU,59.2353,163.0719,18.82,70,19,3.29,few clouds
335,Shenzhen,CN,22.5455,114.0683,70.86,96,96,9.22,overcast clouds
336,Duluth,US,46.7833,-92.1066,48.25,51,0,6.91,clear sky
337,Petrivka,UA,46.9695,30.9591,40.57,59,31,7.58,scattered clouds
338,Alofi,NU,-19.0595,-169.9187,78.69,94,75,1.14,broken clouds
339,Yermakovskoye,RU,53.2831,92.4003,21.0,91,100,3.38,overcast clouds
340,Klaksvik,FO,62.2266,-6.589,45.52,91,70,8.39,broken clouds
341,Wichian Buri,TH,15.6578,101.106,81.28,73,63,3.65,broken clouds
342,Souillac,MU,-20.5167,57.5167,78.08,82,52,7.94,broken clouds
343,Kulhudhuffushi,MV,6.6221,73.07,82.18,64,18,10.74,few clouds
344,Teguldet,RU,57.3064,88.1667,-1.55,100,94,3.36,overcast clouds
345,Chernyy Yar,RU,48.0624,46.1091,33.24,57,11,6.26,few clouds
346,Huarmey,PE,-10.0681,-78.1522,71.65,81,78,9.19,broken clouds
